UnixTime,Frequency,AvgFrequency,Volume,LastSoundUnix,LastSoundAgoSeconds,HasSound,HasSoundRecently
1732063930997,0.0,238.480224609375,0.0,1732063930996,0.001,false,true
1732063931183,1044.3603515625,342.916259765625,0.1723938579440929,1732063931183,0.0,true,true
1732063931370,1571.923828125,500.108642578125,0.0,1732063931183,0.187,false,true
1732063931556,0.0,500.108642578125,0.0,1732063931183,0.373,false,true
1732063931789,511.41357421875,551.25,0.07293849805532894,1732063931789,0.0,true,true
1732063931974,511.41357421875,602.391357421875,0.07930431015633296,1732063931974,0.0,true,true
1732063932205,511.41357421875,652.994384765625,0.07776256828644773,1732063932205,0.0,true,true
1732063932392,511.41357421875,704.1357421875,0.07960180362742629,1732063932392,0.0,true,true
1732063932623,511.41357421875,630.384521484375,0.22666288695990658,1732063932623,0.0,true,true
1732063932809,522.18017578125,569.55322265625,0.14901881229175137,1732063932809,0.0,true,true
1732063932995,619.07958984375,631.461181640625,0.07158183748230412,1732063932995,0.0,true,true
1732063933183,619.07958984375,588.93310546875,0.09776240187479972,1732063933183,0.0,true,true
1732063933369,619.07958984375,493.648681640625,0.0961461052977797,1732063933369,0.0,true,true
1732063933555,619.07958984375,555.556640625,0.0957011942386883,1732063933555,0.0,true,true
1732063933788,619.07958984375,566.3232421875,0.09700910063590668,1732063933788,0.0,true,true
1732063934020,619.07958984375,577.08984375,0.0963289031366879,1732063934020,0.0,true,true
1732063934300,619.07958984375,587.8564453125,0.09657428447140391,1732063934300,0.0,true,true
1732063934579,619.07958984375,598.623046875,0.10274458635610474,1732063934579,0.0,true,true
1732063934813,1248.92578125,672.374267578125,0.1465227318251298,1732063934813,0.0,true,true
1732063935046,0.0,620.15625,0.0,1732063934813,0.233,false,true
1732063935279,619.07958984375,620.15625,0.13167008350477144,1732063935279,0.0,true,true
1732063935560,619.07958984375,620.15625,0.09615485546058984,1732063935560,0.0,true,true
1732063935746,619.07958984375,620.15625,0.05777734340822535,1732063935746,0.0,true,true
1732063935932,1324.2919921875,690.677490234375,0.0,1732063935746,0.186,false,true
1732063936165,1507.32421875,779.501953125,0.05432493017755181,1732063936165,0.0,true,true
1732063936400,1012.060546875,818.800048828125,0.06275913491883184,1732063936400,0.0,true,true
1732063936588,1442.724609375,901.16455078125,0.0,1732063936400,0.188,false,true
1732063936821,1415.80810546875,980.83740234375,0.0,1732063936400,0.421,false,true
1732063937054,1431.9580078125,999.140625,0.10197511284296375,1732063937054,0.001,true,true
1732063937287,1431.9580078125,1142.33642578125,0.18505414026898978,1732063937287,0.0,true,true
1732063937521,1431.9580078125,1223.624267578125,0.10291921420969706,1732063937521,0.0,true,true
1732063937754,1431.9580078125,1304.912109375,0.10225541514751739,1732063937754,0.0,true,true
1732063937988,1125.10986328125,1355.51513671875,0.09447097560789107,1732063937988,0.0,true,true
1732063938173,1125.10986328125,1335.596923828125,0.0913534465243632,1732063938173,0.0,true,true
1732063938358,1125.10986328125,1297.37548828125,0.20762321531919758,1732063938358,0.0,true,true
1732063938544,1125.10986328125,1308.680419921875,0.10043980018129746,1732063938544,0.0,true,true
1732063938824,1125.10986328125,1276.9189453125,0.08750537624912445,1732063938824,0.0,true,true
1732063939057,1340.44189453125,1269.38232421875,0.1571386192936063,1732063939057,0.0,true,true
1732063939337,1200.47607421875,1246.234130859375,0.0,1732063939057,0.28,false,true
1732063939569,1442.724609375,1247.310791015625,0.0,1732063939057,0.512,false,true
1732063939756,1921.83837890625,1296.298828125,0.0,1732063939057,0.699,false,true
1732063939896,1550.390625,1308.14208984375,0.0,1732063939057,0.839,false,true
1732063940222,506.0302734375,1246.234130859375,0.16413938060937106,1732063940222,0.0,true,true
1732063940502,511.41357421875,1184.864501953125,0.060079312185758155,1732063940502,0.0,true,true
1732063940782,511.41357421875,1123.494873046875,0.056616273344286046,1732063940782,0.0,true,true
1732063941061,506.0302734375,1061.5869140625,0.05282155326457902,1732063941061,0.0,true,true
1732063941246,349.91455078125,984.0673828125,0.11171349216830728,1732063941246,0.0,true,true
1732063941478,349.91455078125,885.0146484375,0.0,1732063941246,0.232,false,true
1732063941756,349.91455078125,799.95849609375,0.0,1732063941246,0.51,false,true
1732063942082,355.2978515625,691.2158203125,0.0,1732063941246,0.836,false,true
1732063942269,1141.259765625,613.157958984375,0.19348179195966111,1732063942269,0.0,true,true
1732063942596,5.38330078125,458.6572265625,0.0,1732063942269,0.327,false,true
1732063943110,1695.73974609375,577.628173828125,0.0,1732063942269,0.841,false,true
1732063943343,1431.9580078125,669.6826171875,0.08050519393650866,1732063943343,0.0,true,true
1732063943623,1431.9580078125,761.737060546875,0.10247828903494428,1732063943623,0.0,true,true
1732063943854,1431.9580078125,854.329833984375,0.10184197655812463,1732063943854,0.0,true,true
1732063944086,1431.9580078125,962.5341796875,0.17711446120850796,1732063944086,0.0,true,true
1732063944319,985.14404296875,1026.05712890625,0.15418741282273982,1732063944319,0.0,true,true
1732063944505,349.91455078125,1026.05712890625,0.0,1732063944319,0.186,false,true
1732063944784,349.91455078125,1025.518798828125,0.0,1732063944319,0.465,false,true
1732063944970,349.91455078125,946.38427734375,0.0,1732063944319,0.651,false,true
1732063945251,349.91455078125,980.83740234375,0.0,1732063944319,0.932,false,true
1732063945530,1108.9599609375,922.159423828125,0.0,1732063944319,1.211,false,true
1732063945764,1222.00927734375,901.16455078125,0.0,1732063944319,1.445,false,true
1732063945996,850.5615234375,843.02490234375,0.16134131875936827,1732063945996,0.0,true,true
1732063946181,1205.859375,820.4150390625,0.15075942731248282,1732063946181,0.0,true,true
1732063946416,737.51220703125,750.970458984375,0.1933928160977155,1732063946416,0.0,true,true
1732063946647,1582.6904296875,810.72509765625,0.0,1732063946416,0.231,false,true
1732063946926,1232.77587890625,899.01123046875,0.0,1732063946416,0.51,false,true
1732063947159,1313.525390625,995.372314453125,0.0778152629713172,1732063947159,0.0,true,true
1732063947392,1340.44189453125,1094.425048828125,0.06626833815658366,1732063947392,0.0,true,true
1732063947672,1442.724609375,1203.7060546875,0.06692199386261663,1732063947672,0.0,true,true
1732063947904,1921.83837890625,1284.993896484375,0.05520559747955441,1732063947904,0.0,true,true
1732063948091,1410.4248046875,1303.83544921875,0.06976828540354656,1732063948091,0.0,true,true
1732063948508,1555.77392578125,1374.356689453125,0.08783397165313858,1732063948508,0.0,true,true
1732063948788,1415.80810546875,1395.3515625,0.06253165858929625,1732063948788,0.0,true,true
1732063948973,1302.7587890625,1451.876220703125,0.06673644988473366,1732063948973,0.0,true,true
1732063949159,2002.587890625,1493.865966796875,0.0,1732063948973,0.186,false,true
1732063949392,1431.9580078125,1513.7841796875,0.08801722716700865,1732063949392,0.0,true,true
1732063949624,1448.10791015625,1527.242431640625,0.08750459616651073,1732063949624,0.0,true,true
1732063949904,2115.63720703125,1604.761962890625,0.06224666670575551,1732063949904,0.0,true,true
1732063950090,2110.25390625,1671.514892578125,0.0,1732063949904,0.186,false,true
1732063950369,1286.60888671875,1607.991943359375,0.0,1732063949904,0.465,false,true
1732063950789,1324.2919921875,1599.378662109375,0.0904629827449302,1732063950789,0.0,true,true
1732063951022,1555.77392578125,1599.378662109375,0.0,1732063950789,0.233,false,true
1732063951209,1690.3564453125,1626.83349609375,0.059176695061288614,1732063951209,0.0,true,true
1732063951394,1458.87451171875,1642.445068359375,0.10533801701603329,1732063951394,0.0,true,true
1732063951580,1889.53857421875,1631.14013671875,0.0,1732063951394,0.186,false,true
1732063951766,1690.3564453125,1656.97998046875,0.0,1732063951394,0.372,false,true
1732063951953,1690.3564453125,1681.204833984375,0.0,1732063951394,0.559,false,true
1732063952137,1765.72265625,1646.21337890625,0.09441528814072699,1732063952137,0.0,true,true
1732063952324,1431.9580078125,1578.3837890625,0.06331854604395536,1732063952324,0.0,true,true
1732063952557,2067.1875,1656.441650390625,0.058909891968841395,1732063952557,0.0,true,true
1732063952745,1184.326171875,1642.445068359375,0.09398212911064252,1732063952745,0.0,true,true
1732063952930,1405.04150390625,1627.371826171875,0.06254014651310534,1732063952930,0.0,true,true
1732063953117,1318.90869140625,1590.22705078125,0.09704102228297186,1732063953117,0.0,true,true
1732063953539,1405.04150390625,1584.84375,0.14618944749613683,1732063953539,0.0,true,true
1732063955777,1442.724609375,1540.162353515625,0.08708964425966526,1732063955777,0.0,true,true
1732063957647,1200.47607421875,1491.17431640625,0.16757319511042668,1732063957647,0.0,true,true
1732063958628,1367.3583984375,1458.87451171875,0.08720159536675799,1732063958628,0.0,true,true
1732063959187,1954.13818359375,1477.716064453125,0.12179512097771275,1732063959187,0.0,true,true
1732063959839,1636.5234375,1498.172607421875,0.0,1732063959187,0.652,false,true
1732063960306,1399.658203125,1431.419677734375,0.09788941403443766,1732063960306,0.0,true,true
1732063960820,1534.24072265625,1466.4111328125,0.09552782658515817,1732063960820,0.0,true,true
1732063961379,1012.060546875,1427.113037109375,0.09386780101366414,1732063961379,0.0,true,true
1732063961845,1367.3583984375,1431.9580078125,0.0,1732063961379,0.466,false,true
1732063962403,1717.27294921875,1463.18115234375,0.0,1732063961379,1.024,false,true
1732063963101,1114.34326171875,1430.343017578125,0.0,1732063961379,1.722,false,true
1732063963567,0.0,1310.29541015625,0.0,1732063961379,2.188,false,false
